May '26,"Fri,  May  1","Sat,  May  2","Sun,  May  3","Mon,  May  4","Tue,  May  5","Wed,  May  6","Thu,  May  7","Fri,  May  8","Sat,  May  9","Sun,  May  10","Mon,  May  11","Tue,  May  12","Wed,  May  13","Thu,  May  14","Fri,  May  15","Sat,  May  16","Sun,  May  17","Mon,  May  18","Tue,  May  19","Wed,  May  20","Thu,  May  21","Fri,  May  22","Sat,  May  23","Sun,  May  24","Mon,  May  25","Tue,  May  26","Wed,  May  27","Thu,  May  28","Fri,  May  29","Sat,  May  30","Sun,  May  31"
9:00,,Commencement,,Mackinac,Mackinac,Mackinac,Baldwin,Baldwin,Baldwin,Baldwin,,,,,,,,,,,,,,,,,,,,,
9:30,Dad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,,,,,,,,,,,,,,,,,,,,,TOD SURGERY,,,,,,,,,,
10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,,,,,,,,,,,,,,,,,,,,,,,Jack Grad Party,,,,,,,,
12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,Concur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:30,,,,,,,,,,,,,,Cayden,,,,,,Dad hair,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:30,,,,,,,,,,,,,,Maddie,,,,,,Dad eye,,,,,,,,,,,
15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:30,,,,,,,,,,,,,,Reya,,,,,,,,,,,,,,,,,
16:00,,,,,,,,,,,,,,,,,,,,"Fast 6/29 10:30 lab, 7/2 1:30",,,,,,,,,,,
16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:30,,,,,,,,,,,,,,,,,,,,Music Committee,,,,,,,,,,,
19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,